FUNC __main__.main 132.0430 1669192376.5850 133.7422 1669192376.6300 0
CMDLINE C:\Users\ingvilrh\ANA\python.exe MPC_run.py
MEM 2.121094 1669192374.5962
MEM 24.343750 1669192374.7083
MEM 32.996094 1669192374.8164
MEM 38.960938 1669192374.9242
MEM 43.792969 1669192375.0311
MEM 48.082031 1669192375.1396
MEM 52.917969 1669192375.2468
MEM 61.175781 1669192375.3537
MEM 72.964844 1669192375.4606
MEM 79.371094 1669192375.5676
MEM 88.910156 1669192375.6752
MEM 95.140625 1669192375.7859
MEM 102.671875 1669192375.8940
MEM 104.765625 1669192376.0044
MEM 108.546875 1669192376.1136
MEM 112.156250 1669192376.2215
MEM 113.535156 1669192376.3277
MEM 125.281250 1669192376.4352
MEM 126.363281 1669192376.5430
MEM 133.746094 1669192376.6530
MEM 125.351562 1669192376.7620
